doc=470 score=0.23191862 name=org.apache.commons.collections.CursorableLinkedList#prev#972:974
doc=471 score=0.23191862 name=org.apache.commons.collections.CursorableLinkedList#previousIndex#1048:1054
doc=472 score=0.23191862 name=org.apache.commons.collections.CursorableLinkedList#previousIndex#1116:1118
doc=474 score=0.23191862 name=org.apache.commons.collections.CursorableLinkedList#hasPrevious#1056:1059
doc=926 score=0.23157953 name=org.apache.commons.collections.ListUtils#isEqualList#170:193
doc=882 score=0.22867271 name=org.apache.commons.collections.CollectionUtils#union#90:104
doc=898 score=0.22867271 name=org.apache.commons.collections.CollectionUtils#subtract#180:186
doc=911 score=0.22867271 name=org.apache.commons.collections.CollectionUtils#intersection#120:134
doc=779 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#size#187:193
doc=780 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#containsValue#289:304
doc=782 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#createCollection#485:491
doc=783 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#iterator#202:208
doc=785 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#clone#464:475
doc=786 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#putAll#264:279
doc=787 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#getCollection#176:178
doc=788 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#values#375:378
doc=789 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#containsValue#313:319
doc=790 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#clear#356:366
doc=792 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#searchNextIterator#426:434
doc=794 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#totalSize#158:166
doc=795 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#put#220:230
doc=796 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#readObject#127:149
doc=799 score=0.22702003 name=org.apache.commons.collections.MultiHashMap#remove#334:349
doc=916 score=0.20952636 name=org.apache.commons.collections.BidiMap#put#91:91
doc=1503 score=0.20757912 name=org.apache.commons.collections.list.CursorableLinkedList#remove#425:438
doc=378 score=0.20525548 name=org.apache.commons.collections.CursorableLinkedList#containsAll#241:249
doc=405 score=0.20525548 name=org.apache.commons.collections.CursorableLinkedList#retainAll#599:609
doc=479 score=0.20525548 name=org.apache.commons.collections.CursorableLinkedList#removeAll#547:561
doc=1615 score=0.20486099 name=org.apache.commons.collections.list.NodeCachingLinkedList#getMaximumCacheSize#109:111
