doc=2895 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#containsKey#866:868
doc=2896 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#hash#224:237
doc=2897 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#keySet#886:888
doc=2899 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#get#401:411
doc=2900 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#get#874:876
doc=2901 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#mapIterator#854:856
doc=2903 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#equals#898:903
doc=2904 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#isEmpty#862:864
doc=2906 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#get#137:147
doc=2907 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#hash#355:371
doc=2908 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#hashCode#905:907
doc=2912 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#containsKey#284:294
doc=2913 score=0.03794347 name=org.apache.commons.collections.map.MultiKeyMap#values#890:892
doc=858 score=0.03639552 name=org.apache.commons.collections.Bag#getCount#57:57
doc=864 score=0.03639552 name=org.apache.commons.collections.Bag#size#130:130
doc=866 score=0.03639552 name=org.apache.commons.collections.Bag#remove#114:114
doc=867 score=0.03639552 name=org.apache.commons.collections.Bag#iterator#196:196
doc=868 score=0.03639552 name=org.apache.commons.collections.Bag#uniqueSet#123:123
doc=2521 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#entrySet#139:142
doc=2522 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#writeObject#101:104
doc=2523 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#putAll#122:129
doc=2524 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#subMap#155:158
doc=2525 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#isFull#170:172
doc=2526 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#values#149:152
doc=2527 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#tailMap#165:168
doc=2528 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#put#115:120
doc=2529 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#readObject#109:112
doc=2530 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#decorate#73:75
doc=2531 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#keySet#144:147
doc=2532 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#clear#131:133
doc=2533 score=0.03639552 name=org.apache.commons.collections.map.FixedSizeSortedMap#remove#135:137
