doc=2370 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#setValue#480:484
doc=2371 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#next#548:550
doc=2372 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#remove#530:534
doc=2374 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#clear#641:643
doc=2376 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#remove#617:630
doc=2378 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#size#601:603
doc=2380 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#size#556:558
doc=2381 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#nextEntry#520:524
doc=2382 score=0.14970501 name=org.apache.commons.collections.map.StaticBucketMap#getValue#457:459
doc=1938 score=0.13823564 name=org.apache.commons.collections.bidimap.AbstractDualBidiMap#putAll#185:190
doc=2554 score=0.13342091 name=org.apache.commons.collections.map.FixedSizeMap#putAll#121:128
doc=2521 score=0.13009101 name=org.apache.commons.collections.map.FixedSizeSortedMap#putAll#122:129
doc=2782 score=0.12894022 name=org.apache.commons.collections.map.MultiValueMap#putAll#233:246
doc=2189 score=0.12889512 name=org.apache.commons.collections.keyvalue.MultiKey#getKeys#185:187
doc=505 score=0.12831762 name=org.apache.commons.collections.StaticBucketMap#atomic#695:698
doc=2361 score=0.12747303 name=org.apache.commons.collections.map.StaticBucketMap#atomic#686:689
doc=2628 score=0.120879404 name=org.apache.commons.collections.map.CompositeMap#putAll#375:380
doc=2722 score=0.1199356 name=org.apache.commons.collections.map.AbstractHashedMap#updateEntry#454:456
doc=787 score=0.11931666 name=org.apache.commons.collections.MultiHashMap#putAll#241:254
doc=1441 score=0.11822411 name=org.apache.commons.collections.ExtendedProperties#getKeys#824:836
doc=2476 score=0.11675237 name=org.apache.commons.collections.map.TransformedMap#putAll#224:227
doc=2611 score=0.10788707 name=org.apache.commons.collections.map.SingletonMap#putAll#268:281
doc=557 score=0.102626555 name=org.apache.commons.collections.SequencedHashMap#putAll#488:494
doc=2863 score=0.10221426 name=org.apache.commons.collections.map.ListOrderedMap#putAll#220:225
doc=2674 score=0.0945231 name=org.apache.commons.collections.map.AbstractHashedMap#reuseEntry#470:475
doc=2721 score=0.092229985 name=org.apache.commons.collections.map.AbstractHashedMap#putAll#297:308
doc=2905 score=0.09165775 name=org.apache.commons.collections.map.MultiKeyMap#putAll#845:851
